date	Trump	Sanders
20200308	40.0	46.0
20200307	48.26	42.33
20200223	46.0	48.0
20200220	44.0	46.0
20200218	46.0	45.0
20200116	47.0	47.0
20200112	46.0	47.0
20200108	42.0	46.0
20191208	47.0	45.0
20191205	50.95	37.62
20191117	48.0	45.0
20191026	45.48	47.44
20191017	46.0	48.0
20191002	40.0	45.0
20190909	43.0	49.0
20190829	44.0	48.0
20190613	40.0	47.0
20190418	42.0	49.0
20190321	41.0	48.0
20190317	47.9	52.1
