date	Trump	Sanders
20200309	43.4	45.5
20200308	41.0	46.0
20200307	47.64	41.17
20200220	41.0	48.0
20200218	43.0	48.0
20200112	45.0	50.0
20200107	44.8	49.0
20191205	47.56	41.84
20191103	43.1	56.9
20191025	42.39	45.62
20190909	43.0	40.0
20190821	44.0	48.0
20190717	37.0	48.0
20190613	44.0	44.0
20190530	41.3	53.2
20190418	41.0	52.0
20190321	46.0	45.0
20190310	47.5	52.5
20190126	41.2	52.0
