date	Trump	Sanders
20200308	41.0	43.0
20200307	46.14	42.4
20200220	45.0	47.0
20200218	44.0	48.0
20191205	48.03	37.45
20191109	45.0	50.0
20191025	43.82	45.05
20190909	42.0	44.0
20190613	44.0	41.0
20190514	43.0	50.0
20190328	45.4	54.6
20190321	44.0	44.0
