state,pollster,date,answer,pct
Ohio,Public Policy Polling,10/11/19,Sanders,47
Ohio,Public Policy Polling,10/11/19,Trump,47
Ohio,Climate Nexus,10/7/19,Sanders,52
Ohio,Climate Nexus,10/7/19,Trump,48
Ohio,Emerson College,10/2/19,Sanders,53.1
Ohio,Emerson College,10/2/19,Trump,46.9
Ohio,Quinnipiac University,7/22/19,Sanders,45
Ohio,Quinnipiac University,7/22/19,Trump,46
Ohio,Public Policy Polling,11/28/18,Sanders,47
Ohio,Public Policy Polling,11/28/18,Trump,46
