state,pollster,date,answer,pct
Wisconsin,YouGov,3/8/20,Sanders,46
Wisconsin,YouGov,3/8/20,Trump,40
Wisconsin,Optimus,3/7/20,Sanders,42.33
Wisconsin,Optimus,3/7/20,Trump,48.26
Wisconsin,Marquette University Law School,2/23/20,Sanders,48
Wisconsin,Marquette University Law School,2/23/20,Trump,46
Wisconsin,YouGov,2/20/20,Sanders,46
Wisconsin,YouGov,2/20/20,Trump,44
Wisconsin,Expedition Strategies,2/18/20,Sanders,45
Wisconsin,Expedition Strategies,2/18/20,Trump,46
Wisconsin,Tarrance Group,1/16/20,Sanders,47
Wisconsin,Tarrance Group,1/16/20,Trump,47
Wisconsin,Marquette University Law School,1/12/20,Sanders,47
Wisconsin,Marquette University Law School,1/12/20,Trump,46
Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,1/8/20,Sanders,46
Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,1/8/20,Trump,42
Wisconsin,Marquette University Law School,12/8/19,Sanders,45
Wisconsin,Marquette University Law School,12/8/19,Trump,47
Wisconsin,Optimus,12/5/19,Sanders,37.62
Wisconsin,Optimus,12/5/19,Trump,50.95
Wisconsin,Marquette University Law School,11/17/19,Sanders,45
Wisconsin,Marquette University Law School,11/17/19,Trump,48
Wisconsin,Siena College/New York Times Upshot,10/26/19,Sanders,47.44
Wisconsin,Siena College/New York Times Upshot,10/26/19,Trump,45.48
Wisconsin,Marquette University Law School,10/17/19,Sanders,48
Wisconsin,Marquette University Law School,10/17/19,Trump,46
Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,10/2/19,Sanders,45
Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,10/2/19,Trump,40
Wisconsin,Optimus,9/9/19,Sanders,49
Wisconsin,Optimus,9/9/19,Trump,43
Wisconsin,Marquette University Law School,8/29/19,Sanders,48
Wisconsin,Marquette University Law School,8/29/19,Trump,44
Wisconsin,Optimus,6/13/19,Sanders,47
Wisconsin,Optimus,6/13/19,Trump,40
Wisconsin,Zogby Interactive/JZ Analytics,4/18/19,Sanders,49
Wisconsin,Zogby Interactive/JZ Analytics,4/18/19,Trump,42
Wisconsin,Optimus,3/21/19,Sanders,48
Wisconsin,Optimus,3/21/19,Trump,41
Wisconsin,Emerson College,3/17/19,Sanders,52.1
Wisconsin,Emerson College,3/17/19,Trump,47.9
