,FIPS,2000_cand,2004_cand,2008_cand,2012_cand,2016_cand,2000_percent,2004_percent,2008_percent,2012_percent,2016_percent,party2000,party2004,party2008,party2012,party2016,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016,county,state
22,1057.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5868340163934426,0.6915771057235691,0.7393490008797285,0.7618927762396174,0.813674384773912,republican,republican,republican,republican,republican,False,False,False,False,Fayette,Alabama
23,1059.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.551112311987751,0.6267829488955905,0.6882750363465321,0.6968413297725389,0.7862126245847176,republican,republican,republican,republican,republican,False,False,False,False,Franklin,Alabama
24,1061.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6891934302751334,0.7929657794676807,0.807840782362529,0.8105123674911661,0.8499744854567103,republican,republican,republican,republican,republican,False,False,False,False,Geneva,Alabama
25,1067.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5848240046162724,0.6630892541774216,0.6458140610545791,0.6424657534246575,0.6977205153617443,republican,republican,republican,republican,republican,False,False,False,False,Henry,Alabama
26,1069.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6909567333187759,0.7423551835584652,0.700946447825566,0.6982680471396536,0.7206547995966134,republican,republican,republican,republican,republican,False,False,False,False,Houston,Alabama
27,1075.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6166367774865499,0.7108206245461147,0.7659363957597173,0.7615126988557075,0.8359173126614987,republican,republican,republican,republican,republican,False,False,False,False,Lamar,Alabama
28,1077.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5438591032143635,0.5972188535855768,0.6316397228637414,0.6475733939984833,0.7058570524984187,republican,republican,republican,republican,republican,False,False,False,False,Lauderdale,Alabama
29,1081.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5862690779845285,0.6270342972427707,0.5932811780947999,0.5922478338453614,0.5848355324289165,republican,republican,republican,republican,republican,False,False,False,False,Lee,Alabama
30,1083.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.600998561394601,0.6776734427131703,0.7033471431551965,0.7133590907809019,0.7213729091179828,republican,republican,republican,republican,republican,False,False,False,False,Limestone,Alabama
31,1089.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5484653806103179,0.5888281881857441,0.5687741581043696,0.5861252813445205,0.5478949011255347,republican,republican,republican,republican,republican,False,False,False,False,Madison,Alabama
32,1093.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5877849608710446,0.6977087378640777,0.7718332658842574,0.8010739363899215,0.8682994454713494,republican,republican,republican,republican,republican,False,False,False,False,Marion,Alabama
33,1095.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6103826503269142,0.7234765488552285,0.7757040342519448,0.794294663145612,0.8277551251557368,republican,republican,republican,republican,republican,False,False,False,False,Marshall,Alabama
34,1097.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5593187591684855,0.5869325321647498,0.5404411764705882,0.5426674444139445,0.5506405691889983,republican,republican,republican,republican,republican,False,False,False,False,Mobile,Alabama
35,1099.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5756898670539604,0.6116005873715125,0.5487913259864913,0.5361412028389989,0.564209911401032,republican,republican,republican,republican,republican,False,False,False,False,Monroe,Alabama
36,1103.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6038752606546238,0.6908971004318506,0.7125558941078707,0.7175354297183869,0.7401863991785799,republican,republican,republican,republican,republican,False,False,False,False,Morgan,Alabama
