date	Trump	Biden
20200309	45.5	44.1
20200308	41.0	48.0
20200307	46.49	44.34
20200220	43.0	47.0
20200218	43.0	47.0
20200112	44.0	50.0
20200107	43.2	50.1
20191205	46.28	40.87
20191103	44.2	55.8
20191025	44.07	45.39
20190909	41.0	42.0
20190821	41.0	51.0
20190717	36.0	49.0
20190613	43.0	46.0
20190530	41.4	53.3
20190430	42.0	45.0
20190321	46.0	45.0
20190310	46.3	53.7
20190126	40.3	53.3
