date	Trump	Biden
20190321	43.0	50.0
20190328	45.2	54.8
20190514	42.0	53.0
20190613	42.0	43.0
20190909	41.0	45.0
20191025	43.96	46.7
20191109	43.0	52.0
20191205	45.48	41.24
20200218	42.0	50.0
20200220	45.0	46.0
20200307	45.44	43.77
20200308	40.0	46.0
