state,pollster,date,answer,pct
Florida,Florida Atlantic University,3/7/20,Sanders,47.3
Florida,Florida Atlantic University,3/7/20,Trump,52.7
Florida,Saint Leo University,2/22/20,Sanders,48.8
Florida,Saint Leo University,2/22/20,Trump,40.2
Florida,University of North Florida,2/18/20,Sanders,48
Florida,University of North Florida,2/18/20,Trump,48
Florida,Florida Atlantic University,1/12/20,Sanders,52.9
Florida,Florida Atlantic University,1/12/20,Trump,47.1
Florida,Mason-Dixon Polling & Research Inc.,12/16/19,Sanders,44
Florida,Mason-Dixon Polling & Research Inc.,12/16/19,Trump,49
Florida,Siena College/New York Times Upshot,10/26/19,Sanders,43.94
Florida,Siena College/New York Times Upshot,10/26/19,Trump,44.87
Florida,Florida Atlantic University,9/15/19,Sanders,49.5
Florida,Florida Atlantic University,9/15/19,Trump,50.5
Florida,Quinnipiac University,6/17/19,Sanders,48
Florida,Quinnipiac University,6/17/19,Trump,42
Florida,Florida Atlantic University,5/19/19,Sanders,48.6
Florida,Florida Atlantic University,5/19/19,Trump,51.4
