state,pollster,date,answer,pct
Pennsylvania,YouGov,3/8/20,Biden,46
Pennsylvania,YouGov,3/8/20,Trump,40
Pennsylvania,Optimus,3/7/20,Biden,43.77
Pennsylvania,Optimus,3/7/20,Trump,45.44
Pennsylvania,YouGov,2/20/20,Biden,46
Pennsylvania,YouGov,2/20/20,Trump,45
Pennsylvania,Quinnipiac University,2/18/20,Biden,50
Pennsylvania,Quinnipiac University,2/18/20,Trump,42
Pennsylvania,Optimus,12/5/19,Biden,41.24
Pennsylvania,Optimus,12/5/19,Trump,45.48
Pennsylvania,Muhlenberg College,11/9/19,Biden,52
Pennsylvania,Muhlenberg College,11/9/19,Trump,43
Pennsylvania,Siena College/New York Times Upshot,10/25/19,Biden,46.7
Pennsylvania,Siena College/New York Times Upshot,10/25/19,Trump,43.96
Pennsylvania,Optimus,9/9/19,Biden,45
Pennsylvania,Optimus,9/9/19,Trump,41
Pennsylvania,Optimus,6/13/19,Biden,43
Pennsylvania,Optimus,6/13/19,Trump,42
Pennsylvania,Quinnipiac University,5/14/19,Biden,53
Pennsylvania,Quinnipiac University,5/14/19,Trump,42
Pennsylvania,Emerson College,3/28/19,Biden,54.8
Pennsylvania,Emerson College,3/28/19,Trump,45.2
Pennsylvania,Optimus,3/21/19,Biden,50
Pennsylvania,Optimus,3/21/19,Trump,43
