state,pollster,date,answer,pct
Pennsylvania,YouGov,3/8/20,Sanders,43
Pennsylvania,YouGov,3/8/20,Trump,41
Pennsylvania,Optimus,3/7/20,Sanders,42.4
Pennsylvania,Optimus,3/7/20,Trump,46.14
Pennsylvania,YouGov,2/20/20,Sanders,47
Pennsylvania,YouGov,2/20/20,Trump,45
Pennsylvania,Quinnipiac University,2/18/20,Sanders,48
Pennsylvania,Quinnipiac University,2/18/20,Trump,44
Pennsylvania,Optimus,12/5/19,Sanders,37.45
Pennsylvania,Optimus,12/5/19,Trump,48.03
Pennsylvania,Muhlenberg College,11/9/19,Sanders,50
Pennsylvania,Muhlenberg College,11/9/19,Trump,45
Pennsylvania,Siena College/New York Times Upshot,10/25/19,Sanders,45.05
Pennsylvania,Siena College/New York Times Upshot,10/25/19,Trump,43.82
Pennsylvania,Optimus,9/9/19,Sanders,44
Pennsylvania,Optimus,9/9/19,Trump,42
Pennsylvania,Optimus,6/13/19,Sanders,41
Pennsylvania,Optimus,6/13/19,Trump,44
Pennsylvania,Quinnipiac University,5/14/19,Sanders,50
Pennsylvania,Quinnipiac University,5/14/19,Trump,43
Pennsylvania,Emerson College,3/28/19,Sanders,54.6
Pennsylvania,Emerson College,3/28/19,Trump,45.4
Pennsylvania,Optimus,3/21/19,Sanders,44
Pennsylvania,Optimus,3/21/19,Trump,44
