date	Trump	Biden
20190519	50.2	49.8
20190617	41.0	50.0
20190915	50.5	49.5
20191026	44.48	46.01
20191216	45.0	47.0
20200112	48.6	51.4
20200218	48.0	49.0
20200222	40.3	51.2
20200307	50.6	49.4
