date	Biden	Sanders
20190304	18.5	8.0
20190321	37.0	13.0
20190508	39.0	16.0
20190519	39.2	11.6
20190529	34.4	18.3
20190611	32.0	16.0
20190617	37.0	17.0
20190623	47.4	8.0
20190915	34.0	14.4
20190918	34.666666666666664	8.0
20191026	27.0	13.0
20200112	41.5	15.5
20200123	35.0	19.0
20200128	41.3	9.4
20200213	25.9	10.4
20200218	20.0	13.0
20200219	26.5	11.4
20200221	22.0	18.0
20200222	24.6	16.7
20200226	33.8	13.0
20200304	61.2	11.9
