date	Biden	Sanders
20190317	23.5	38.9
20190418	24.0	20.0
20190529	28.3	13.1
20190704	18.0	19.0
20190811	20.0	24.0
20190829	28.0	20.0
20191002	19.5	21.0
20191015	17.0	10.0
20191017	31.0	17.0
20191026	23.0	20.0
20191117	30.0	17.0
20191208	23.0	19.0
20200108	23.0	21.0
20200112	23.0	19.0
20200120	21.8	28.4
20200220	12.9	29.8
20200223	15.0	29.0
