date	Biden	Sanders
20190328	39.0	20.4
20190410	28.0	16.0
20190514	39.0	13.0
20190529	46.0	14.9
20190804	28.0	12.0
20191006	17.0	6.0
20191015	27.0	14.0
20191025	28.0	14.0
20191027	30.0	12.0
20200120	31.3	20.5
20200126	22.0	15.0
20200220	20.0	25.0
